epoch,lr,loss,fire_loss,other_loss,effective_rollout_steps,teacher_forcing_ratio,prob_mae_mean,best_iou_mean,spread_iou_at_best,dice_at_best,recall_at_best,mpd_at_best,save_thr,ious_by_thr
109,0.0002954445583636515,4.226309013366699,1.9264591217041016,0.4312483072280884,4,0.22142857142857153,0.10157449868245003,0.9359999512883295,0.6887653219351726,0.9589030731377901,0.9718530947535993,0.36120121071808675,0.6,"{0.2: 0.8933823050359894, 0.3: 0.920461521848169, 0.4: 0.9292137494686755, 0.5: 0.9345110482468033, 0.6: 0.9359999512883295, 0.7: 0.934432533071653, 0.8: 0.9280461353353551}"
114,0.0002774275491977922,4.21292200088501,1.9166695594787597,0.4261009931564331,4,0.18571428571428572,0.09918549351203136,0.9373750175477357,0.6926816147547956,0.9598822526002844,0.9722755102510416,0.35320497345659313,0.6,"{0.2: 0.8989531759948528, 0.3: 0.92360933188699, 0.4: 0.9313683111985446, 0.5: 0.9362254042377742, 0.6: 0.9373750175477357, 0.7: 0.9356663199941528, 0.8: 0.9299344453297351}"
119,0.00024742647851355997,4.150109577178955,1.8962159872055053,0.4077729880809784,4,0.15000000000000002,0.09699523525360303,0.939007927435269,0.6950615991254154,0.9610081413592791,0.9725618714907179,0.33966551040077686,0.6,"{0.2: 0.9035670518175598, 0.3: 0.9262221449547886, 0.4: 0.9334545973854649, 0.5: 0.9382928498326064, 0.6: 0.939007927435269, 0.7: 0.9367950741682679, 0.8: 0.9315223295300411}"
4,0.0003,2.493965435028076,1.1879121780395507,0.26324287354946135,1,0.9714285714285714,0.40415663138414043,0.8286296063147066,0.3359822510509409,0.8907151596598322,0.8713147310120829,1.2887651312737909,0.6,"{0.2: 0.1320378760851454, 0.3: 0.1320333413050273, 0.4: 0.16858385605131512, 0.5: 0.7286582267868703, 0.6: 0.8286296063147066, 0.7: 0.7247174276181313, 0.8: 0.37695123737382064}"
9,0.0002954445583636515,1.8732372045516967,0.8865354299545288,0.2430761605501175,1,0.9357142857142857,0.3216788401970497,0.8800211959119673,0.431054833105045,0.9275484025208687,0.9367734827464375,0.7766856583207007,0.6,"{0.2: 0.13204585247706835, 0.3: 0.14417313826371433, 0.4: 0.5330881038340601, 0.5: 0.8346680785805816, 0.6: 0.8800211959119673, 0.7: 0.8544981923002516, 0.8: 0.784343378190434}"
14,0.0002774275491977922,1.5820566892623902,0.7074717521667481,0.2282523036003113,1,0.9,0.3115163231507326,0.8835409289417178,0.44032261799777156,0.9302064990019224,0.9431379064340947,0.7537112606319023,0.6,"{0.2: 0.13205140282213984, 0.3: 0.1604044253805415, 0.4: 0.571897512856559, 0.5: 0.8399389490425255, 0.6: 0.8835409289417178, 0.7: 0.8600963687028789, 0.8: 0.7968967569015803}"
19,0.00024742647851355997,1.482978105545044,0.6442133903503418,0.21464747190475464,1,0.8642857142857143,0.29292880648221725,0.8882743058950436,0.4550598329338037,0.93348347187174,0.9538013813674968,0.7173174128116809,0.6,"{0.2: 0.1320695366923421, 0.3: 0.22353256020374518, 0.4: 0.6467589995558192, 0.5: 0.8479811310536487, 0.6: 0.8882743058950436, 0.7: 0.8715041230134539, 0.8: 0.8188742510237902}"
24,0.0002083780601392783,2.7452274322509767,1.2117744445800782,0.3841666758060455,2,0.8285714285714285,0.27250621639765227,0.892324065060734,0.4711440566344764,0.9357945312786844,0.9577846212343137,0.6855876828079851,0.6,"{0.2: 0.13209473207568367, 0.3: 0.33894766242459246, 0.4: 0.7185028223300809, 0.5: 0.8582853391032392, 0.6: 0.892324065060734, 0.7: 0.8817720502680976, 0.8: 0.8384324774086921}"
29,0.00016410462533175042,2.6203527450561523,1.1538601875305177,0.35272754430770875,2,0.7928571428571429,0.2529021658194371,0.8975415827349327,0.4915172191002804,0.9387163317321315,0.9607444425310078,0.6445563310325964,0.6,"{0.2: 0.13237178043403205, 0.3: 0.444571601229401, 0.4: 0.7744081161319577, 0.5: 0.8691084058780536, 0.6: 0.8975415827349327, 0.7: 0.8896888147367934, 0.8: 0.8520437282634175}"
34,0.00011893996636109602,2.5444360256195067,1.1282166957855224,0.3337026059627533,2,0.7571428571428571,0.2340611009261547,0.9011246529589487,0.5093727589773795,0.940454690091542,0.9624216141406265,0.6142484534992431,0.6,"{0.2: 0.1350533692941769, 0.3: 0.5286947011441797, 0.4: 0.813161845572699, 0.5: 0.8785617596974709, 0.6: 0.9011246529589487, 0.7: 0.8955209788269965, 0.8: 0.8643487791429845}"
39,7.730511472804544e-05,2.5198738098144533,1.1180661201477051,0.3193375557661057,2,0.7214285714285714,0.21648369653102678,0.9052869104032875,0.5243167901394632,0.9425836661057789,0.9643696763767784,0.5828896875304954,0.6,"{0.2: 0.14992348902065133, 0.3: 0.5979232310319791, 0.4: 0.8361907882426783, 0.5: 0.8876865860536367, 0.6: 0.9052869104032875, 0.7: 0.9003534352634458, 0.8: 0.8751374898843866}"
44,4.327557979751057e-05,3.531498575210571,1.5761424064636231,0.4358311355113983,3,0.6857142857142857,0.20028155621809837,0.9097106907429774,0.5472939298785566,0.9448031052580734,0.9657950133786536,0.5484869898802355,0.6,"{0.2: 0.20444142008051422, 0.3: 0.6585245510417032, 0.4: 0.8559433478003831, 0.5: 0.8948680614134403, 0.6: 0.9097106907429774, 0.7: 0.9041865357206368, 0.8: 0.8835601654229287}"
